Step 120620, Total Loss 1.117, Time Elapsed 22.308 s
Step 120630, Total Loss 0.808, Time Elapsed 21.900 s
Step 120640, Total Loss 1.932, Time Elapsed 21.885 s
Step 120650, Total Loss 1.692, Time Elapsed 21.429 s
Step 120660, Total Loss 1.183, Time Elapsed 21.154 s
Step 120670, Total Loss 1.028, Time Elapsed 21.417 s
Step 120680, Total Loss 1.644, Time Elapsed 21.398 s
Step 120690, Total Loss 2.126, Time Elapsed 22.605 s
Step 120700, Total Loss 1.732, Time Elapsed 23.398 s
Step 120710, Total Loss 1.042, Time Elapsed 22.365 s
Step 120720, Total Loss 1.047, Time Elapsed 22.627 s
Step 120730, Total Loss 0.724, Time Elapsed 22.628 s
Step 120740, Total Loss 0.754, Time Elapsed 22.803 s
Step 120750, Total Loss 2.611, Time Elapsed 23.197 s
Step 120760, Total Loss 0.821, Time Elapsed 22.131 s
Step 120770, Total Loss 1.890, Time Elapsed 20.930 s
Step 120780, Total Loss 1.952, Time Elapsed 21.316 s
Step 120790, Total Loss 0.495, Time Elapsed 21.308 s
Step 120800, Total Loss 0.582, Time Elapsed 22.292 s
Step 120810, Total Loss 1.819, Time Elapsed 20.601 s
Step 120820, Total Loss 0.790, Time Elapsed 22.490 s
Step 120830, Total Loss 1.245, Time Elapsed 22.413 s
Step 120840, Total Loss 1.296, Time Elapsed 21.000 s
Step 120850, Total Loss 0.990, Time Elapsed 21.107 s
Step 120860, Total Loss 1.147, Time Elapsed 23.412 s
Step 120870, Total Loss 1.108, Time Elapsed 22.370 s
Step 120880, Total Loss 2.687, Time Elapsed 21.909 s
Step 120890, Total Loss 2.197, Time Elapsed 20.591 s
Step 120900, Total Loss 1.818, Time Elapsed 20.792 s
Step 120910, Total Loss 3.447, Time Elapsed 22.404 s
Step 120920, Total Loss 1.890, Time Elapsed 21.815 s
Step 120930, Total Loss 1.226, Time Elapsed 22.265 s
Step 120940, Total Loss 2.629, Time Elapsed 20.397 s
Step 120950, Total Loss 1.679, Time Elapsed 22.715 s
Step 120960, Total Loss 0.956, Time Elapsed 22.214 s
Step 120970, Total Loss 0.731, Time Elapsed 22.421 s
Step 120980, Total Loss 0.725, Time Elapsed 22.873 s
Step 120990, Total Loss 1.447, Time Elapsed 19.783 s
Step 121000 / 150000, Checkpoint saved to ../teams/DSC180A_FA21_A00/a15/avod_data/kitti_avod/object/outputs/trainsin_pyramid_cars_with_aug_simple_rand_5/checkpoints/trainsin_pyramid_cars_with_aug_simple_rand_5-00121000
Step 121000, Total Loss 0.133, Time Elapsed 23.237 s
Step 121010, Total Loss 0.636, Time Elapsed 22.373 s
Step 121020, Total Loss 1.369, Time Elapsed 19.828 s
Step 121030, Total Loss 1.307, Time Elapsed 21.385 s
Step 121040, Total Loss 2.309, Time Elapsed 19.302 s
Step 121050, Total Loss 1.569, Time Elapsed 23.310 s
Step 121060, Total Loss 0.878, Time Elapsed 22.681 s
Step 121070, Total Loss 2.572, Time Elapsed 22.005 s
Step 121080, Total Loss 2.082, Time Elapsed 22.016 s
Step 121090, Total Loss 0.784, Time Elapsed 22.605 s
Step 121100, Total Loss 1.593, Time Elapsed 20.788 s
Step 121110, Total Loss 0.829, Time Elapsed 21.882 s
Step 121120, Total Loss 1.151, Time Elapsed 21.306 s
Step 121130, Total Loss 1.228, Time Elapsed 20.740 s
Step 121140, Total Loss 1.489, Time Elapsed 21.277 s
Step 121150, Total Loss 0.715, Time Elapsed 21.586 s
Step 121160, Total Loss 0.847, Time Elapsed 22.490 s
Step 121170, Total Loss 0.408, Time Elapsed 21.421 s
Step 121180, Total Loss 1.144, Time Elapsed 21.991 s
Step 121190, Total Loss 0.456, Time Elapsed 21.584 s
Step 121200, Total Loss 2.107, Time Elapsed 20.204 s
Step 121210, Total Loss 1.039, Time Elapsed 21.888 s
Step 121220, Total Loss 3.349, Time Elapsed 21.326 s
Step 121230, Total Loss 0.869, Time Elapsed 22.383 s
Step 121240, Total Loss 0.369, Time Elapsed 21.944 s
Step 121250, Total Loss 1.395, Time Elapsed 22.454 s
Step 121260, Total Loss 0.738, Time Elapsed 21.427 s
Step 121270, Total Loss 1.701, Time Elapsed 21.702 s
Step 121280, Total Loss 0.251, Time Elapsed 22.885 s
Step 121290, Total Loss 0.920, Time Elapsed 22.994 s
Step 121300, Total Loss 0.670, Time Elapsed 20.485 s
Step 121310, Total Loss 1.894, Time Elapsed 22.915 s
Step 121320, Total Loss 7.094, Time Elapsed 22.614 s
Step 121330, Total Loss 1.529, Time Elapsed 20.250 s
Step 121340, Total Loss 0.813, Time Elapsed 21.248 s
Step 121350, Total Loss 2.061, Time Elapsed 20.876 s
Step 121360, Total Loss 0.252, Time Elapsed 21.520 s
Step 121370, Total Loss 1.200, Time Elapsed 20.209 s
Step 121380, Total Loss 0.592, Time Elapsed 20.982 s
Step 121390, Total Loss 1.725, Time Elapsed 21.712 s
Step 121400, Total Loss 2.245, Time Elapsed 22.094 s
Step 121410, Total Loss 0.810, Time Elapsed 21.951 s
Step 121420, Total Loss 0.919, Time Elapsed 20.757 s
Step 121430, Total Loss 0.982, Time Elapsed 20.395 s
Step 121440, Total Loss 2.132, Time Elapsed 21.587 s
Step 121450, Total Loss 0.723, Time Elapsed 22.227 s
Step 121460, Total Loss 2.014, Time Elapsed 23.504 s
Step 121470, Total Loss 0.523, Time Elapsed 21.498 s
Step 121480, Total Loss 1.030, Time Elapsed 22.126 s
Step 121490, Total Loss 2.656, Time Elapsed 20.649 s
Step 121500, Total Loss 2.655, Time Elapsed 24.338 s
Step 121510, Total Loss 0.475, Time Elapsed 21.527 s
Step 121520, Total Loss 6.727, Time Elapsed 20.729 s
Step 121530, Total Loss 0.815, Time Elapsed 22.403 s
Step 121540, Total Loss 1.867, Time Elapsed 21.123 s
Step 121550, Total Loss 0.314, Time Elapsed 22.002 s
Step 121560, Total Loss 0.805, Time Elapsed 21.085 s
Step 121570, Total Loss 2.582, Time Elapsed 21.335 s
Step 121580, Total Loss 3.534, Time Elapsed 21.448 s
Step 121590, Total Loss 2.278, Time Elapsed 22.998 s
Step 121600, Total Loss 2.961, Time Elapsed 20.542 s
Step 121610, Total Loss 0.531, Time Elapsed 22.574 s
Step 121620, Total Loss 0.996, Time Elapsed 19.210 s
Step 121630, Total Loss 1.920, Time Elapsed 21.074 s
Step 121640, Total Loss 1.008, Time Elapsed 20.843 s
Step 121650, Total Loss 2.288, Time Elapsed 21.985 s
Step 121660, Total Loss 0.876, Time Elapsed 22.285 s
Step 121670, Total Loss 1.454, Time Elapsed 21.888 s
Step 121680, Total Loss 3.447, Time Elapsed 21.525 s
Step 121690, Total Loss 1.614, Time Elapsed 21.912 s
Step 121700, Total Loss 0.807, Time Elapsed 22.918 s
Step 121710, Total Loss 0.563, Time Elapsed 21.180 s
Step 121720, Total Loss 0.466, Time Elapsed 20.584 s
Step 121730, Total Loss 1.153, Time Elapsed 21.132 s
Step 121740, Total Loss 1.187, Time Elapsed 21.862 s
Step 121750, Total Loss 0.497, Time Elapsed 22.209 s
Step 121760, Total Loss 0.610, Time Elapsed 22.086 s
Step 121770, Total Loss 3.964, Time Elapsed 19.799 s
Step 121780, Total Loss 2.284, Time Elapsed 20.817 s
Step 121790, Total Loss 0.803, Time Elapsed 21.409 s
Step 121800, Total Loss 2.253, Time Elapsed 21.507 s
Step 121810, Total Loss 0.820, Time Elapsed 22.124 s
Step 121820, Total Loss 1.583, Time Elapsed 20.773 s
Step 121830, Total Loss 0.267, Time Elapsed 21.570 s
Step 121840, Total Loss 0.865, Time Elapsed 21.131 s
Step 121850, Total Loss 1.096, Time Elapsed 21.605 s
Step 121860, Total Loss 1.258, Time Elapsed 20.578 s
Step 121870, Total Loss 0.986, Time Elapsed 20.513 s
Step 121880, Total Loss 0.424, Time Elapsed 21.190 s
Step 121890, Total Loss 0.347, Time Elapsed 21.716 s
Step 121900, Total Loss 3.405, Time Elapsed 21.495 s
Step 121910, Total Loss 0.920, Time Elapsed 21.110 s
Step 121920, Total Loss 0.154, Time Elapsed 22.176 s
Step 121930, Total Loss 9.853, Time Elapsed 20.137 s
Step 121940, Total Loss 2.405, Time Elapsed 21.563 s
Step 121950, Total Loss 2.467, Time Elapsed 22.701 s
Step 121960, Total Loss 0.335, Time Elapsed 22.426 s
Step 121970, Total Loss 1.652, Time Elapsed 20.582 s
Step 121980, Total Loss 0.987, Time Elapsed 21.311 s
Step 121990, Total Loss 2.506, Time Elapsed 21.881 s
Step 122000 / 150000, Checkpoint saved to ../teams/DSC180A_FA21_A00/a15/avod_data/kitti_avod/object/outputs/trainsin_pyramid_cars_with_aug_simple_rand_5/checkpoints/trainsin_pyramid_cars_with_aug_simple_rand_5-00122000
Step 122000, Total Loss 1.243, Time Elapsed 22.410 s
Step 122010, Total Loss 0.832, Time Elapsed 21.912 s
Step 122020, Total Loss 2.301, Time Elapsed 20.739 s
Step 122030, Total Loss 1.267, Time Elapsed 20.877 s
Step 122040, Total Loss 1.442, Time Elapsed 21.261 s
Step 122050, Total Loss 1.307, Time Elapsed 21.223 s
Step 122060, Total Loss 1.330, Time Elapsed 21.971 s
Step 122070, Total Loss 1.453, Time Elapsed 20.255 s
Step 122080, Total Loss 1.262, Time Elapsed 20.656 s
Step 122090, Total Loss 1.940, Time Elapsed 22.512 s
Step 122100, Total Loss 2.622, Time Elapsed 19.753 s
Step 122110, Total Loss 1.958, Time Elapsed 21.611 s
Step 122120, Total Loss 1.998, Time Elapsed 19.774 s
Step 122130, Total Loss 0.801, Time Elapsed 19.764 s
Step 122140, Total Loss 0.276, Time Elapsed 21.564 s
Step 122150, Total Loss 1.278, Time Elapsed 21.290 s
Step 122160, Total Loss 2.555, Time Elapsed 20.922 s
Step 122170, Total Loss 0.634, Time Elapsed 21.158 s
Step 122180, Total Loss 0.966, Time Elapsed 23.355 s
Step 122190, Total Loss 0.474, Time Elapsed 20.633 s
Step 122200, Total Loss 6.458, Time Elapsed 20.659 s
Step 122210, Total Loss 1.976, Time Elapsed 21.619 s
Step 122220, Total Loss 1.415, Time Elapsed 18.696 s
Step 122230, Total Loss 2.159, Time Elapsed 19.592 s
Step 122240, Total Loss 1.600, Time Elapsed 21.895 s
Step 122250, Total Loss 0.683, Time Elapsed 20.625 s
Step 122260, Total Loss 3.720, Time Elapsed 21.485 s
Step 122270, Total Loss 3.115, Time Elapsed 21.013 s
Step 122280, Total Loss 0.870, Time Elapsed 20.580 s
Step 122290, Total Loss 1.781, Time Elapsed 21.321 s
Step 122300, Total Loss 2.010, Time Elapsed 21.274 s
Step 122310, Total Loss 0.417, Time Elapsed 20.542 s
Step 122320, Total Loss 1.545, Time Elapsed 18.761 s
Step 122330, Total Loss 0.284, Time Elapsed 21.079 s
Step 122340, Total Loss 2.230, Time Elapsed 19.607 s
Step 122350, Total Loss 1.013, Time Elapsed 21.099 s
Step 122360, Total Loss 0.977, Time Elapsed 19.313 s
Step 122370, Total Loss 1.371, Time Elapsed 21.602 s
Step 122380, Total Loss 1.646, Time Elapsed 21.389 s
Step 122390, Total Loss 0.424, Time Elapsed 20.697 s
Step 122400, Total Loss 1.012, Time Elapsed 20.001 s
Step 122410, Total Loss 0.962, Time Elapsed 22.307 s
