/opt/conda/lib/python3.9/site-packages/tensorflow/python/keras/engine/base_layer_v1.py:1694: UserWarning: `layer.apply` is deprecated and will be removed in a future version. Please use `layer.__call__` method instead.
  warnings.warn('`layer.apply` is deprecated and '
/opt/conda/lib/python3.9/site-packages/tensorflow/python/keras/legacy_tf_layers/core.py:336: UserWarning: `tf.layers.flatten` is deprecated and will be removed in a future version. Please use `tf.keras.layers.Flatten` instead.
  warnings.warn('`tf.layers.flatten` is deprecated and '
/opt/conda/lib/python3.9/site-packages/tensorflow/python/framework/indexed_slices.py:447: UserWarning: Converting sparse IndexedSlices(IndexedSlices(indices=Tensor("train_op/gradients/proposals/nms/GatherV2_grad/Reshape_1:0", shape=(None,), dtype=int32), values=Tensor("train_op/gradients/proposals/nms/GatherV2_grad/Reshape:0", shape=(None, 6), dtype=float32), dense_shape=Tensor("train_op/gradients/proposals/nms/GatherV2_grad/Cast:0", shape=(2,), dtype=int32))) to a dense Tensor of unknown shape. This may consume a large amount of memory.
  warnings.warn(
2022-01-11 21:03:08.260269: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-01-11 21:03:09.184816: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 10421 MB memory:  -> device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:09:00.0, compute capability: 6.1
2022-01-11 21:03:14.592682: I tensorflow/stream_executor/cuda/cuda_dnn.cc:369] Loaded cuDNN version 8201
2022-01-11 21:03:15.119813: I tensorflow/core/platform/default/subprocess.cc:304] Start cannot spawn child process: No such file or directory
2022-01-11 21:03:15.121137: I tensorflow/core/platform/default/subprocess.cc:304] Start cannot spawn child process: No such file or directory
2022-01-11 21:03:15.121190: W tensorflow/stream_executor/gpu/asm_compiler.cc:77] Couldn't get ptxas version string: Internal: Couldn't invoke ptxas --version
2022-01-11 21:03:15.121820: I tensorflow/core/platform/default/subprocess.cc:304] Start cannot spawn child process: No such file or directory
2022-01-11 21:03:15.121942: W tensorflow/stream_executor/gpu/redzone_allocator.cc:314] Internal: Failed to launch ptxas
Relying on driver to perform ptx compilation. 
Modify $PATH to customize ptxas location.
This message will be only logged once.
Starting from step 120000 / 150000
Step 120000 / 150000, Checkpoint saved to ../teams/DSC180A_FA21_A00/a15/avod_data/kitti_avod/object/outputs/trainsin_pyramid_cars_with_aug_simple_rand_5/checkpoints/trainsin_pyramid_cars_with_aug_simple_rand_5-00120000
Step 121010, Total Loss 2.508, Time Elapsed 16.318 s
Step 121020, Total Loss 0.333, Time Elapsed 17.111 s
Step 121030, Total Loss 0.612, Time Elapsed 18.751 s
Step 121040, Total Loss 0.822, Time Elapsed 17.705 s
Step 121050, Total Loss 1.574, Time Elapsed 17.505 s
Step 121060, Total Loss 6.720, Time Elapsed 17.419 s
Step 121070, Total Loss 0.442, Time Elapsed 16.930 s
Step 121080, Total Loss 1.283, Time Elapsed 16.494 s
Step 121090, Total Loss 1.318, Time Elapsed 18.053 s
Step 121100, Total Loss 1.138, Time Elapsed 16.919 s
Step 121110, Total Loss 1.484, Time Elapsed 17.099 s
Step 121120, Total Loss 0.687, Time Elapsed 16.829 s
Step 121130, Total Loss 1.662, Time Elapsed 16.972 s
Step 121140, Total Loss 1.552, Time Elapsed 17.221 s
Step 121150, Total Loss 0.871, Time Elapsed 16.584 s
Step 121160, Total Loss 10.023, Time Elapsed 16.793 s
Step 121170, Total Loss 0.570, Time Elapsed 16.807 s
Step 121180, Total Loss 1.393, Time Elapsed 17.100 s
Step 121190, Total Loss 1.707, Time Elapsed 16.588 s
Step 121200, Total Loss 0.544, Time Elapsed 16.513 s
Step 121210, Total Loss 0.737, Time Elapsed 17.598 s
Step 121220, Total Loss 0.288, Time Elapsed 16.800 s
Step 121230, Total Loss 1.776, Time Elapsed 16.495 s
Step 121240, Total Loss 1.191, Time Elapsed 17.604 s
Step 121250, Total Loss 0.494, Time Elapsed 16.803 s
Step 121260, Total Loss 2.056, Time Elapsed 16.389 s
Step 121270, Total Loss 0.337, Time Elapsed 17.110 s
Step 121280, Total Loss 8.635, Time Elapsed 16.900 s
Step 121290, Total Loss 0.615, Time Elapsed 16.209 s
Step 121300, Total Loss 0.357, Time Elapsed 16.394 s
Step 121310, Total Loss 3.937, Time Elapsed 16.709 s
Step 121320, Total Loss 0.266, Time Elapsed 16.839 s
Step 121330, Total Loss 4.918, Time Elapsed 16.754 s
Step 121340, Total Loss 1.170, Time Elapsed 17.702 s
Step 121350, Total Loss 0.700, Time Elapsed 16.802 s
Step 121360, Total Loss 0.189, Time Elapsed 17.594 s
Step 121370, Total Loss 0.592, Time Elapsed 17.594 s
Step 121380, Total Loss 7.727, Time Elapsed 16.907 s
Step 121390, Total Loss 2.905, Time Elapsed 19.094 s
Step 121400, Total Loss 0.563, Time Elapsed 16.740 s
Step 121410, Total Loss 0.994, Time Elapsed 16.733 s
Step 121420, Total Loss 5.894, Time Elapsed 16.235 s
Step 121430, Total Loss 0.690, Time Elapsed 15.581 s
Step 121440, Total Loss 1.243, Time Elapsed 16.598 s
Step 121450, Total Loss 0.557, Time Elapsed 17.322 s
Step 121460, Total Loss 0.589, Time Elapsed 15.961 s
Step 121470, Total Loss 1.329, Time Elapsed 17.018 s
Step 121480, Total Loss 0.520, Time Elapsed 15.903 s
Step 121490, Total Loss 1.490, Time Elapsed 15.524 s
Step 121500, Total Loss 4.778, Time Elapsed 18.006 s
Step 121510, Total Loss 0.574, Time Elapsed 16.680 s
Step 121520, Total Loss 1.123, Time Elapsed 17.122 s
Step 121530, Total Loss 2.026, Time Elapsed 17.100 s
Step 121540, Total Loss 3.993, Time Elapsed 17.158 s
Step 121550, Total Loss 0.979, Time Elapsed 17.671 s
Step 121560, Total Loss 1.086, Time Elapsed 17.453 s
Step 121570, Total Loss 0.756, Time Elapsed 17.600 s
Step 121580, Total Loss 1.227, Time Elapsed 17.699 s
Step 121590, Total Loss 0.641, Time Elapsed 17.200 s
Step 121600, Total Loss 0.585, Time Elapsed 17.073 s
Step 121610, Total Loss 1.569, Time Elapsed 17.113 s
Step 121620, Total Loss 1.144, Time Elapsed 17.739 s
Step 121630, Total Loss 1.745, Time Elapsed 17.377 s
Step 121640, Total Loss 1.309, Time Elapsed 17.070 s
Step 121650, Total Loss 0.476, Time Elapsed 17.334 s
Step 121660, Total Loss 1.139, Time Elapsed 17.721 s
Step 121670, Total Loss 0.754, Time Elapsed 16.842 s
Step 121680, Total Loss 0.530, Time Elapsed 18.001 s
Step 121690, Total Loss 1.225, Time Elapsed 17.957 s
Step 121700, Total Loss 2.389, Time Elapsed 15.161 s
Step 121710, Total Loss 1.094, Time Elapsed 16.108 s
Step 121720, Total Loss 2.192, Time Elapsed 15.406 s
Step 121730, Total Loss 1.273, Time Elapsed 15.909 s
Step 121740, Total Loss 2.063, Time Elapsed 16.847 s
Step 121750, Total Loss 1.135, Time Elapsed 17.128 s
Step 121760, Total Loss 0.674, Time Elapsed 17.914 s
Step 121770, Total Loss 0.863, Time Elapsed 19.060 s
Step 121780, Total Loss 1.194, Time Elapsed 16.085 s
Step 121790, Total Loss 0.207, Time Elapsed 17.153 s
Step 121800, Total Loss 1.141, Time Elapsed 16.284 s
Step 121810, Total Loss 4.168, Time Elapsed 17.313 s
Step 121820, Total Loss 0.307, Time Elapsed 16.997 s
Step 121830, Total Loss 3.618, Time Elapsed 17.794 s
Step 121840, Total Loss 0.786, Time Elapsed 16.430 s
Step 121850, Total Loss 0.730, Time Elapsed 17.294 s
Step 121860, Total Loss 0.767, Time Elapsed 16.879 s
Step 121870, Total Loss 2.007, Time Elapsed 16.166 s
Step 121880, Total Loss 0.511, Time Elapsed 17.239 s
Step 121890, Total Loss 0.891, Time Elapsed 15.608 s
Step 121900, Total Loss 3.830, Time Elapsed 17.500 s
Step 121910, Total Loss 2.455, Time Elapsed 17.598 s
Step 121920, Total Loss 0.313, Time Elapsed 18.379 s
Step 121930, Total Loss 1.778, Time Elapsed 17.697 s
Step 121940, Total Loss 0.666, Time Elapsed 16.105 s
Step 121950, Total Loss 1.382, Time Elapsed 16.508 s
Step 121960, Total Loss 1.410, Time Elapsed 17.277 s
Step 121970, Total Loss 1.355, Time Elapsed 16.230 s
Step 121980, Total Loss 3.305, Time Elapsed 16.753 s
Step 121990, Total Loss 1.936, Time Elapsed 15.725 s
Step 122000 / 150000, Checkpoint saved to ../teams/DSC180A_FA21_A00/a15/avod_data/kitti_avod/object/outputs/trainsin_pyramid_cars_with_aug_simple_rand_5/checkpoints/trainsin_pyramid_cars_with_aug_simple_rand_5-00122000
Step 122000, Total Loss 1.396, Time Elapsed 17.712 s
Step 122010, Total Loss 0.907, Time Elapsed 15.702 s
Step 122020, Total Loss 0.375, Time Elapsed 16.276 s
Step 122030, Total Loss 6.670, Time Elapsed 16.145 s
Step 122040, Total Loss 1.347, Time Elapsed 16.446 s
Step 122050, Total Loss 0.863, Time Elapsed 16.048 s
Step 122060, Total Loss 0.561, Time Elapsed 16.983 s
Step 122070, Total Loss 1.431, Time Elapsed 17.712 s
